,Total motions,Total Votes Obtained,Present,Present Ratio,Yes,Yes Ratio,No,No Ratio,Absent,Absent Ratio,Abstain,Abstain Ratio
LEUNG Kwok-hung,0,84979,6168,0.07258263806352158,2853,0.033573000388331234,35947.0,0.4230103908024335,39667,0.46678591181350687,344.0,0.004048058932206781
CHAN Chi-chuen,0,43679,2923,0.06692003022047208,1634,0.03740928134801621,18832.0,0.4311454016804414,20021,0.4583667208498363,269.0,0.006158565901234003
Albert CHAN,0,30939,2435,0.07870325479168687,1199,0.03875367658941788,12760.0,0.4124244481075665,14373,0.46455929409483177,172.0,0.005559326416496978
WONG Yuk-man,0,11549,971,0.08407654342367304,680,0.0588795566715733,4576.0,0.3962247813663521,5235,0.4532859987877738,87.0,0.00753311975062776
The Financial Secretary,0,10500,755,0.0719047619047619,4635,0.44142857142857145,620.0,0.05904761904761905,4461,0.4248571428571429,29.0,0.002761904761904762
Cyd HO,0,3776,136,0.036016949152542374,637,0.1686970338983051,1572.0,0.4163135593220339,1256,0.3326271186440678,175.0,0.04634533898305085
Secretary for Financial Services and the Treasury,0,3149,47,0.014925373134328358,1871,0.5941568751984757,196.0,0.06224198158145443,1015,0.322324547475389,20.0,0.006351222610352493
Gary FAN,0,3148,139,0.044155019059720454,495,0.15724269377382466,1283.0,0.40756035578144856,1038,0.3297331639135959,193.0,0.06130876747141042
LEE Cheuk-yan,0,2309,87,0.037678648765699436,544,0.23559982676483326,894.0,0.38718059766132523,652,0.28237332178432223,132.0,0.05716760502381984
Secretary for Constitutional and Mainland Affairs,0,2240,32,0.014285714285714285,1149,0.5129464285714286,141.0,0.06294642857142857,918,0.40982142857142856,0.0,0.0
Dr KWOK Ka-ki,0,2099,53,0.0252501191043354,590,0.281086231538828,704.0,0.33539780848022865,569,0.2710814673654121,183.0,0.0871843735111958
Claudia MO,0,2028,53,0.026134122287968443,621,0.3062130177514793,689.0,0.33974358974358976,573,0.28254437869822485,92.0,0.045364891518737675
James TO,0,1750,32,0.018285714285714287,437,0.24971428571428572,649.0,0.37085714285714283,538,0.30742857142857144,94.0,0.053714285714285714
Dr Fernando CHEUNG,0,1749,49,0.02801600914808462,565,0.3230417381360778,550.0,0.31446540880503143,417,0.23842195540308747,168.0,0.09605488850771869
SIN Chung-kai,0,1330,20,0.015037593984962405,493,0.3706766917293233,300.0,0.22556390977443608,310,0.23308270676691728,207.0,0.1556390977443609
Dr Helena WONG,0,1328,24,0.018072289156626505,404,0.3042168674698795,368.0,0.27710843373493976,384,0.2891566265060241,148.0,0.11144578313253012
Andrew LEUNG,0,1257,29,0.023070803500397773,640,0.5091487669053302,218.0,0.17342879872712808,347,0.2760540970564837,23.0,0.018297533810660304
IP Kin-yuen,0,1189,17,0.014297729184188394,463,0.3894028595458368,172.0,0.14465937762825903,317,0.26661059714045415,220.0,0.18502943650126155
CHEUNG Kwok-che,0,1189,47,0.03952901597981497,326,0.27417998317914216,441.0,0.3708999158957107,282,0.23717409587888982,93.0,0.0782169890664424
Charles Peter MOK,0,1050,15,0.014285714285714285,511,0.4866666666666667,135.0,0.12857142857142856,287,0.2733333333333333,102.0,0.09714285714285714
WU Chi-wai,0,1049,18,0.017159199237368923,375,0.3574833174451859,349.0,0.332697807435653,246,0.23450905624404195,61.0,0.058150619637750235
Michael TIEN,0,980,14,0.014285714285714285,399,0.40714285714285714,259.0,0.2642857142857143,217,0.22142857142857142,91.0,0.09285714285714286
TANG Ka-piu,0,979,14,0.014300306435137897,354,0.3615934627170582,197.0,0.20122574055158324,269,0.27477017364657813,145.0,0.1481103166496425
Frederick FUNG,0,909,16,0.0176017601760176,367,0.40374037403740376,337.0,0.37073707370737075,128,0.1408140814081408,61.0,0.0671067106710671
Dr Kenneth CHAN,0,909,14,0.015401540154015401,287,0.31573157315731576,263.0,0.2893289328932893,270,0.297029702970297,75.0,0.08250825082508251
Starry LEE,0,839,12,0.014302741358760428,221,0.2634088200238379,358.0,0.4266984505363528,223,0.265792610250298,25.0,0.029797377830750895
Secretary for Labour and Welfare,0,700,10,0.014285714285714285,399,0.57,2.0,0.002857142857142857,288,0.4114285714285714,1.0,0.0014285714285714286
Kenneth LEUNG,0,700,24,0.03428571428571429,273,0.39,148.0,0.21142857142857144,145,0.20714285714285716,110.0,0.15714285714285714
KWOK Wai-keung,0,698,10,0.014326647564469915,293,0.4197707736389685,107.0,0.15329512893982808,150,0.2148997134670487,138.0,0.1977077363896848
Alan LEONG,0,698,10,0.014326647564469915,283,0.4054441260744986,193.0,0.27650429799426934,147,0.21060171919770773,65.0,0.09312320916905444
Albert HO,0,630,9,0.014285714285714285,243,0.38571428571428573,141.0,0.22380952380952382,111,0.1761904761904762,126.0,0.2
Emily LAU,0,630,12,0.01904761904761905,179,0.2841269841269841,218.0,0.346031746031746,150,0.23809523809523808,71.0,0.1126984126984127
Ir Dr LO Wai-kwok,0,560,8,0.014285714285714285,266,0.475,138.0,0.24642857142857144,128,0.22857142857142856,20.0,0.03571428571428571
Secretary for Transport and Housing,0,560,8,0.014285714285714285,326,0.5821428571428572,50.0,0.08928571428571429,164,0.29285714285714287,12.0,0.02142857142857143
TAM Yiu-chung,0,559,8,0.014311270125223614,290,0.518783542039356,114.0,0.2039355992844365,109,0.19499105545617174,38.0,0.06797853309481217
Secretary for Home Affairs,0,490,7,0.014285714285714285,248,0.5061224489795918,42.0,0.08571428571428572,173,0.35306122448979593,20.0,0.04081632653061224
IP Kwok-him,0,490,7,0.014285714285714285,219,0.44693877551020406,131.0,0.2673469387755102,93,0.18979591836734694,40.0,0.08163265306122448
WONG Kwok-hing,0,490,7,0.014285714285714285,187,0.3816326530612245,85.0,0.17346938775510204,119,0.24285714285714285,92.0,0.18775510204081633
Ronny TONG,0,490,7,0.014285714285714285,225,0.45918367346938777,50.0,0.10204081632653061,108,0.22040816326530613,100.0,0.20408163265306123
The Secretary for Justice,0,490,7,0.014285714285714285,270,0.5510204081632653,0.0,0.0,213,0.4346938775510204,0.0,0.0
CHAN Yuen-han,0,420,6,0.014285714285714285,181,0.430952380952381,115.0,0.27380952380952384,63,0.15,55.0,0.13095238095238096
Secretary for Security,0,420,6,0.014285714285714285,210,0.5,48.0,0.11428571428571428,149,0.3547619047619048,7.0,0.016666666666666666
Secretary for Commerce and Economic Development,0,419,19,0.045346062052505964,209,0.4988066825775656,55.0,0.13126491646778043,132,0.315035799522673,4.0,0.00954653937947494
Dennis KWOK,0,419,6,0.014319809069212411,173,0.4128878281622912,120.0,0.2863961813842482,88,0.2100238663484487,32.0,0.07637231503579953
Martin LIAO,0,419,6,0.014319809069212411,199,0.47494033412887826,70.0,0.16706443914081145,119,0.2840095465393795,25.0,0.059665871121718374
Secretary for Food and Health,0,350,5,0.014285714285714285,176,0.5028571428571429,12.0,0.03428571428571429,156,0.44571428571428573,1.0,0.002857142857142857
Secretary for the Environment,0,350,5,0.014285714285714285,207,0.5914285714285714,24.0,0.06857142857142857,108,0.30857142857142855,6.0,0.017142857142857144
Frankie YICK,0,350,5,0.014285714285714285,85,0.24285714285714285,102.0,0.2914285714285714,94,0.26857142857142857,64.0,0.18285714285714286
Dr LEUNG Ka-lau,0,350,5,0.014285714285714285,87,0.24857142857142858,113.0,0.32285714285714284,84,0.24,61.0,0.1742857142857143
Alice MAK,0,350,5,0.014285714285714285,176,0.5028571428571429,24.0,0.06857142857142857,88,0.25142857142857145,57.0,0.16285714285714287
Tony TSE,0,349,5,0.014326647564469915,167,0.4785100286532951,72.0,0.20630372492836677,97,0.27793696275071633,8.0,0.022922636103151862
CHAN Kin-por,0,280,4,0.014285714285714285,85,0.30357142857142855,102.0,0.36428571428571427,49,0.175,40.0,0.14285714285714285
Paul TSE,0,280,4,0.014285714285714285,171,0.6107142857142858,5.0,0.017857142857142856,81,0.2892857142857143,19.0,0.06785714285714285
Mrs Regina IP,0,280,4,0.014285714285714285,148,0.5285714285714286,49.0,0.175,52,0.18571428571428572,27.0,0.09642857142857143
Jeffrey LAM,0,279,4,0.014336917562724014,152,0.5448028673835126,13.0,0.04659498207885305,74,0.26523297491039427,36.0,0.12903225806451613
CHAN Kam-lam,0,279,4,0.014336917562724014,146,0.5232974910394266,45.0,0.16129032258064516,74,0.26523297491039427,10.0,0.035842293906810034
Dr CHIANG Lai-wan,0,279,4,0.014336917562724014,106,0.37992831541218636,88.0,0.3154121863799283,59,0.2114695340501792,22.0,0.07885304659498207
Dr Elizabeth QUAT,0,279,4,0.014336917562724014,116,0.4157706093189964,56.0,0.2007168458781362,103,0.36917562724014336,0.0,0.0
LEUNG Yiu-chung,0,279,7,0.025089605734767026,73,0.2616487455197133,108.0,0.3870967741935484,56,0.2007168458781362,35.0,0.12544802867383512
MA Fung-kwok,0,278,4,0.014388489208633094,150,0.539568345323741,34.0,0.1223021582733813,88,0.31654676258992803,2.0,0.007194244604316547
WONG Ting-kwong,0,210,3,0.014285714285714285,109,0.5190476190476191,48.0,0.22857142857142856,37,0.1761904761904762,13.0,0.06190476190476191
Vincent FANG,0,210,3,0.014285714285714285,87,0.4142857142857143,56.0,0.26666666666666666,28,0.13333333333333333,36.0,0.17142857142857143
Christopher CHEUNG,0,210,3,0.014285714285714285,119,0.5666666666666667,29.0,0.1380952380952381,39,0.18571428571428572,20.0,0.09523809523809523
Abraham SHEK,0,210,3,0.014285714285714285,53,0.2523809523809524,96.0,0.45714285714285713,40,0.19047619047619047,18.0,0.08571428571428572
James TIEN,0,210,3,0.014285714285714285,106,0.5047619047619047,54.0,0.2571428571428571,25,0.11904761904761904,22.0,0.10476190476190476
Christopher CHUNG,0,210,3,0.014285714285714285,67,0.319047619047619,85.0,0.40476190476190477,52,0.24761904761904763,3.0,0.014285714285714285
LEUNG Che-cheung,0,210,3,0.014285714285714285,70,0.3333333333333333,65.0,0.30952380952380953,37,0.1761904761904762,35.0,0.16666666666666666
Dr Priscilla LEUNG,0,209,3,0.014354066985645933,75,0.3588516746411483,55.0,0.2631578947368421,61,0.291866028708134,15.0,0.07177033492822966
POON Siu-ping,0,209,3,0.014354066985645933,98,0.4688995215311005,29.0,0.13875598086124402,47,0.22488038277511962,32.0,0.15311004784688995
Prof Joseph LEE,0,140,2,0.014285714285714285,64,0.45714285714285713,11.0,0.07857142857142857,29,0.20714285714285716,34.0,0.24285714285714285
The Chief Secretary for Administration,0,140,2,0.014285714285714285,80,0.5714285714285714,3.0,0.02142857142857143,55,0.39285714285714285,0.0,0.0
NG Leung-sing,0,140,2,0.014285714285714285,71,0.5071428571428571,26.0,0.18571428571428572,39,0.2785714285714286,2.0,0.014285714285714285
Secretary for Education,0,140,2,0.014285714285714285,92,0.6571428571428571,1.0,0.007142857142857143,45,0.32142857142857145,0.0,0.0
WONG Kwok-kin,0,140,2,0.014285714285714285,46,0.32857142857142857,58.0,0.4142857142857143,31,0.22142857142857142,3.0,0.02142857142857143
YIU Si-wing,0,140,2,0.014285714285714285,44,0.3142857142857143,42.0,0.3,36,0.2571428571428571,16.0,0.11428571428571428
Tommy CHEUNG,0,140,2,0.014285714285714285,30,0.21428571428571427,75.0,0.5357142857142857,27,0.19285714285714287,6.0,0.04285714285714286
CHAN Han-pan,0,140,2,0.014285714285714285,68,0.4857142857142857,25.0,0.17857142857142858,28,0.2,17.0,0.12142857142857143
CHAN Hak-kan,0,139,2,0.014388489208633094,53,0.381294964028777,35.0,0.2517985611510791,26,0.18705035971223022,23.0,0.16546762589928057
Dr LAU Wong-fat,0,70,1,0.014285714285714285,22,0.3142857142857143,36.0,0.5142857142857142,8,0.11428571428571428,3.0,0.04285714285714286
CHUNG Kwok-pan,0,70,1,0.014285714285714285,24,0.34285714285714286,28.0,0.4,1,0.014285714285714285,16.0,0.22857142857142856
Steven HO,0,70,1,0.014285714285714285,31,0.44285714285714284,1.0,0.014285714285714285,21,0.3,16.0,0.22857142857142856
Dr LAM Tai-fai,0,69,1,0.014492753623188406,22,0.3188405797101449,24.0,0.34782608695652173,17,0.2463768115942029,5.0,0.07246376811594203
