,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism,vote-time-h
2940,2940,07/11/2012-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2012,23:47:21,"AMENDMENT BY HON LEE CHEUK-YAN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED""",李卓人議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案,LEE Cheuk-yan,李卓人,Member,Yes,23.0
3010,3010,07/11/2012-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2012,23:50:18,"AMENDMENT BY HON LEUNG CHE-CHEUNG TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED""",梁志祥議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案,LEUNG Che-cheung,梁志祥,Member,Yes,23.0
3080,3080,07/11/2012-8,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2012,23:52:26,"AMENDMENT BY HON GARY FAN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED""",范國威議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案,Gary FAN,范國威,Member,Yes,23.0
3150,3150,07/11/2012-9,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2012,23:54:29,"AMENDMENT BY HON MICHAEL TIEN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED""",田北辰議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案,Michael TIEN,田北辰,Member,Yes,23.0
3220,3220,07/11/2012-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2012,23:56:39,"AMENDMENT BY IR DR HON LO WAI-KWOK TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED""",盧偉國議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案,Ir Dr LO Wai-kwok,盧偉國,Member,Yes,23.0
3290,3290,07/11/2012-11,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2012,23:58:46,"AMENDMENT BY HON JAMES TIEN TO HON WONG KWOK-HING'S MOTION ON ""PERFECTING HOUSING POLICY AND RESOLVING PUBLIC HOUSING NEED""",田北俊議員對王國興議員的「完善房屋政策，解決市民住屋需要」議案作出的修正案,James TIEN,田北俊,Member,Yes,23.0
3430,3430,14/11/2012-2,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:14:44,"AMENDMENT BY HON FREDERICK FUNG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY""",馮檢基議員對陳婉嫻議員的「紓解貧窮」議案作出的修正案,Frederick FUNG,馮檢基,Member,Yes,23.0
3500,3500,14/11/2012-3,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:19:46,"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG",張超雄議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員修正的議案，作出的修正案,Dr Fernando CHEUNG,張超雄,Member,Yes,23.0
3570,3570,14/11/2012-4,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:23:24,"AMENDMENT BY HON CHEUNG KWOK-CHE TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG",張國柱議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員修正的議案，作出的修正案,CHEUNG Kwok-che,張國柱,Member,Yes,23.0
3640,3640,14/11/2012-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:25:57,"AMENDMENT BY HON TAM YIU-CHUNG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG",譚耀宗議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員修正的議案，作出的修正案,TAM Yiu-chung,譚耀宗,Member,Yes,23.0
3710,3710,14/11/2012-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:29:13,"AMENDMENT BY HON ALBERT HO TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG",何俊仁議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員／譚耀宗議員修正的議案，作出的修正案,Albert HO,何俊仁,Member,Yes,23.0
3780,3780,14/11/2012-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:31:46,"AMENDMENT BY HON ALAN LEONG TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG / HON ALBERT HO",梁家傑議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員／譚耀宗議員／何俊仁議員修正的議案，作出的修正案,Alan LEONG,梁家傑,Member,Yes,23.0
3850,3850,14/11/2012-8,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:34:29,"AMENDMENT BY HON ALBERT CHAN TO HON CHAN YUEN-HAN'S MOTION ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG / HON  ALBERT HO",陳偉業議員對陳婉嫻議員就「紓解貧窮」所提，經馮檢基議員／譚耀宗議員／何俊仁議員修正的議案，作出的修正案,Albert CHAN,陳偉業,Member,Yes,23.0
3920,3920,14/11/2012-9,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,14/11/2012,23:36:59,"MOTION MOVED BY HON CHAN YUEN-HAN ON ""ALLEVIATING POVERTY"" AS AMENDED BY HON FREDERICK FUNG / HON TAM YIU-CHUNG / HON ALBERT HO",由陳婉嫻議員動議，經馮檢基議員／譚耀宗議員／何俊仁議員修正的「紓解貧窮」議案,CHAN Yuen-han,陳婉嫻,Member,Yes,23.0
5530,5530,06/12/2012-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,06/12/2012,13:48:36,"AMENDMENT BY HON SIN CHUNG-KAI TO HON CHRISTOPHER CHEUNG'S MOTION ON ""SUPPORTING THE DEVELOPMENT OF THE SECURITIES INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON RONNY TONG",單仲偕議員對張華峰議員就「支持證券業發展」所提，經王國興議員／湯家驊議員修正的議案，作出的修正案,SIN Chung-kai,單仲偕,Member,Yes,13.0
5600,5600,06/12/2012-11,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,06/12/2012,13:54:14,"AMENDMENT BY HON MARTIN LIAO TO HON CHRISTOPHER CHEUNG'S MOTION ON ""SUPPORTING THE DEVELOPMENT OF THE SECURITIES INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON RONNY TONG / HON SIN CHUNG-KAI / HON NG LEUNG-SING",廖長江議員對張華峰議員就「支持證券業發展」所提，經王國興議員／湯家驊議員／單仲偕議員／吳亮星議員修正的議案，作出的修正案,Martin LIAO,廖長江,Member,Yes,13.0
5880,5880,20/12/2012-2,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,20/12/2012,13:56:54,"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION""",張超雄議員對葉劉淑儀議員的「重振本地教育質素，停止教育盲目產業化」議案作出的修正案,Dr Fernando CHEUNG,張超雄,Member,Yes,13.0
5950,5950,20/12/2012-3,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,20/12/2012,13:59:49,"AMENDMENT BY HON CLAUDIA MO TO HON MRS REGINA IP'S MOTION ON ""REVIVING THE QUALITY OF LOCAL EDUCATION AND STOPPING THE BLIND INDUSTRIALIZATION OF EDUCATION""",毛孟靜議員對葉劉淑儀議員的「重振本地教育質素，停止教育盲目產業化」議案作出的修正案,Claudia MO,毛孟靜,Member,Yes,13.0
8540,8540,07/02/2013-4,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/02/2013,00:33:25,"AMENDMENT BY HON WONG KWOK-HING TO HON VINCENT FANG'S MOTION ON ""INCREASING THE BUSINESS FLOOR AREAS OF THE RETAIL INDUSTRY""",王國興議員對方剛議員的「增加零售業經營面積」議案作出的修正案,WONG Kwok-hing,王國興,Member,Yes,0.0
8610,8610,07/02/2013-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/02/2013,00:39:25,"AMENDMENT BY HON MICHAEL TIEN TO HON VINCENT FANG'S MOTION ON ""INCREASING THE BUSINESS FLOOR AREAS OF THE RETAIL INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON ALICE MAK / HON STARRY LEE / HON ALAN LEONG",田北辰議員對方剛議員就「增加零售業經營面積」所提，經王國興議員／麥美娟議員／李慧琼議員／梁家傑議員修正的議案，作出的修正案,Michael TIEN,田北辰,Member,Yes,0.0
8680,8680,07/02/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/02/2013,00:41:55,"AMENDMENT BY HON GARY FAN TO HON VINCENT FANG'S MOTION ON ""INCREASING THE BUSINESS FLOOR AREAS OF THE RETAIL INDUSTRY"" AS AMENDED BY HON WONG KWOK-HING / HON ALICE MAK / HON STARRY LEE / HON ALAN LEONG",范國威議員對方剛議員就「增加零售業經營面積」所提，經王國興議員／麥美娟議員／李慧琼議員／梁家傑議員修正的議案，作出的修正案,Gary FAN,范國威,Member,Yes,0.0
9730,9730,20/03/2013-4,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,20/03/2013,23:39:31,"AMENDMENT BY HON ALAN LEONG TO HON WONG KWOK-KIN'S MOTION ON ""IMPLEMENTING THE KAI TAK PLANNING TO DOVETAIL WITH KOWLOON EAST DEVELOPMENT"" AS AMENDED BY HON FREDERICK FUNG / HON CHAN KAM-LAM / HON FRANKIE YICK / HON WU CHI-WAI",梁家傑議員對黃國健議員就「落實啟德規劃，配合九龍東發展」所提，經馮檢基議員／陳鑑林議員／易志明議員／胡志偉議員修正的議案，作出的修正案,Alan LEONG,梁家傑,Member,Yes,23.0
9800,9800,20/03/2013-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,20/03/2013,23:50:35,"MOTION MOVED BY HON WONG KWOK-KIN ON ""IMPLEMENTING THE KAI TAK PLANNING TO DOVETAIL WITH KOWLOON EAST DEVELOPMENT"" AS AMENDED BY HON FREDERICK FUNG / HON CHAN KAM-LAM / HON FRANKIE YICK / HON WU CHI-WAI / DR HON LEUNG KA-LAU",由黃國健議員動議，經馮檢基議員／陳鑑林議員／易志明議員／胡志偉議員／梁家騮議員修正的「落實啟德規劃，配合九龍東發展」議案,WONG Kwok-kin,黃國健,Member,Yes,23.0
61950,61950,03/07/2013-4,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:41:08,"AMENDMENT BY DR HON KENNETH CHAN TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY""",陳家洛議員對葉國謙議員的「制訂人口政策」議案作出的修正案,Dr Kenneth CHAN,陳家洛,Member,Yes,23.0
62020,62020,03/07/2013-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:44:27,"AMENDMENT BY HON JAMES TO TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN",涂謹申議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員修正的議案，作出的修正案,James TO,涂謹申,Member,Yes,23.0
62090,62090,03/07/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:46:48,"AMENDMENT BY HON CLAUDIA MO TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN",毛孟靜議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員修正的議案，作出的修正案,Claudia MO,毛孟靜,Member,Yes,23.0
62160,62160,03/07/2013-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:49:04,"AMENDMENT BY HON IP KIN-YUEN TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN",葉建源議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員修正的議案，作出的修正案,IP Kin-yuen,葉建源,Member,Yes,23.0
62230,62230,03/07/2013-8,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:51:31,"AMENDMENT BY HON GARY FAN TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN",范國威議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員／葉建源議員修正的議案，作出的修正案,Gary FAN,范國威,Member,Yes,23.0
62300,62300,03/07/2013-9,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:53:56,"AMENDMENT BY HON CYD HO TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN",何秀蘭議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員／葉建源議員修正的議案，作出的修正案,Cyd HO,何秀蘭,Member,Yes,23.0
62370,62370,03/07/2013-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,03/07/2013,23:56:15,"AMENDMENT BY HON KENNETH LEUNG TO HON IP KWOK-HIM'S MOTION ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN",梁繼昌議員對葉國謙議員就「制訂人口政策」所提，經陳家洛議員／葉建源議員修正的議案，作出的修正案,Kenneth LEUNG,梁繼昌,Member,Yes,23.0
62440,62440,04/07/2013-11,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,04/07/2013,00:00:26,"MOTION MOVED BY HON IP KWOK-HIM ON ""FORMULATING A POPULATION POLICY"" AS AMENDED BY DR HON KENNETH CHAN / HON IP KIN-YUEN / HON KENNETH LEUNG",葉國謙議員動議，經陳家洛議員／葉建源議員／梁繼昌議員修正的「制訂人口政策」議案,IP Kwok-him,葉國謙,Member,Yes,0.0
65310,65310,30/10/2013-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:18:29,"AMENDMENT BY HON CLAUDIA MO TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES""",毛孟靜議員對范國威議員的「制訂政策時需以'港人優先'為依歸」議案作出的修正案,Claudia MO,毛孟靜,Member,Yes,23.0
65380,65380,30/10/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:21:30,"AMENDMENT BY HON KENNETH LEUNG TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES""",梁繼昌議員對范國威議員的「制訂政策時需以'港人優先'為依歸」議案作出的修正案,Kenneth LEUNG,梁繼昌,Member,Yes,23.0
65450,65450,30/10/2013-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:24:48,"AMENDMENT BY HON ALBERT HO TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",何俊仁議員對范國威議員就「制訂政策時需以'港人優先'為依歸」所提，經梁繼昌議員修正的議案，作出的修正案,Albert HO,何俊仁,Member,Yes,23.0
65520,65520,30/10/2013-8,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:27:17,"AMENDMENT BY HON IP KWOK-HIM TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",葉國謙議員對范國威議員就「制訂政策時需以'港人優先'為依歸」所提，經梁繼昌議員修正的議案，作出的修正案,IP Kwok-him,葉國謙,Member,Yes,23.0
65590,65590,30/10/2013-9,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:29:47,"AMENDMENT BY HON LEE CHEUK-YAN TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",李卓人議員對范國威議員就「制訂政策時需以'港人優先'為依歸」所提，經梁繼昌議員修正的議案，作出的修正案,LEE Cheuk-yan,李卓人,Member,Yes,23.0
65660,65660,30/10/2013-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:32:03,"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",張超雄議員對范國威議員就「制訂政策時需以'港人優先'為依歸」所提，經梁繼昌議員修正的議案，作出的修正案,Dr Fernando CHEUNG,張超雄,Member,Yes,23.0
65730,65730,30/10/2013-11,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:34:20,"MOTION MOVED BY HON GARY FAN ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",范國威議員動議，經梁繼昌議員修正的「制訂政策時需以'港人優先'為依歸」議案,Gary FAN,范國威,Member,Yes,23.0
66150,66150,07/11/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2013,23:07:27,"AMENDMENT BY HON MRS REGINA IP TO HON ALBERT CHAN'S MOTION ON ""IMPOSING ECONOMIC SANCTIONS ON THE PHILIPPINES AND RESTORING HONG KONG PEOPLE'S DIGNITY"" AS AMENDED BY HON ALICE MAK / HON SIN CHUNG-KAI",葉劉淑儀議員對陳偉業議員就「經濟制裁菲律賓，還港人尊嚴」所提，經麥美娟議員／單仲偕議員修正的議案，作出的修正案,Mrs Regina IP,葉劉淑儀,Member,Yes,23.0
