分區編號,投票站編號 ,地方選區,選民人數*,累積投票率* Aggregate Voter Turnout Rate*,,,,,,,,,,,,,,
Q,Q1501,LC5,"2,012 ",0.55%,1.89%,6.06%,8.10%,11.83%,15.41%,18.74%,22.71%,26.44%,29.22%,33.50%,36.63%,39.86%,44.14%,47.02%
Q,Q1502,LC5,"3,653 ",0.96%,3.12%,6.49%,9.36%,13.28%,17.36%,20.56%,23.21%,26.42%,29.95%,33.64%,36.87%,39.69%,43.12%,45.83%
Q,Q1601,LC5,"10,701 ",0.66%,2.42%,5.35%,8.49%,11.26%,13.85%,16.37%,18.73%,21.52%,24.61%,27.74%,31.02%,34.29%,36.99%,39.78%
Q,Q1701,LC5,"13,180 ",0.56%,2.05%,4.14%,7.54%,10.16%,13.47%,16.12%,19.28%,22.23%,25.24%,28.35%,31.45%,34.20%,37.12%,40.24%
Q,Q1801,LC5,"11,084 ",0.77%,3.18%,6.11%,10.11%,14.84%,19.20%,22.89%,26.94%,30.70%,34.48%,38.12%,41.74%,44.90%,48.17%,51.89%
Q,Q1901,LC5,"11,337 ",0.97%,3.16%,6.25%,10.73%,15.37%,20.36%,25.21%,29.14%,33.59%,37.66%,41.73%,45.81%,50.06%,53.95%,56.98%
Q,Q1902,LC5,"4,465 ",0.83%,2.24%,5.02%,8.56%,13.42%,17.47%,21.90%,26.65%,31.67%,36.04%,40.13%,44.03%,47.70%,51.67%,56.13%
Q,Q2001,LC5,"11,991 ",0.62%,2.31%,5.70%,8.67%,12.25%,15.29%,18.12%,21.06%,24.40%,27.70%,31.40%,34.50%,37.62%,40.73%,44.02%
Q,Q2101,LC5,"11,238 ",0.93%,3.14%,6.01%,9.73%,12.97%,16.39%,19.67%,23.12%,26.45%,29.78%,33.14%,36.95%,40.59%,44.04%,47.26%
Q,Q2201,LC5,"9,792 ",1.02%,3.24%,6.83%,11.40%,15.85%,19.71%,23.63%,27.49%,31.37%,35.46%,39.03%,42.48%,45.88%,49.72%,52.07%
Q,Q2301,LC5,"11,779 ",0.73%,3.05%,6.53%,10.32%,14.53%,19.11%,23.34%,27.01%,30.67%,34.31%,37.73%,41.14%,44.24%,47.46%,51.12%
Q,Q2401,LC5,"12,271 ",0.42%,1.44%,3.29%,5.87%,8.34%,10.37%,12.88%,15.20%,17.71%,20.50%,23.36%,26.81%,29.23%,32.96%,36.78%
Q,Q2501,LC5,"11,316 ",0.87%,2.48%,5.52%,9.20%,12.97%,15.87%,19.31%,23.05%,26.37%,29.71%,33.14%,36.53%,39.35%,42.87%,47.22%
Q,Q2601,LC5,"2,608 ",0.54%,2.88%,6.02%,11.62%,15.87%,20.86%,25.27%,29.87%,33.78%,39.34%,44.75%,51.27%,56.17%,61.20%,67.06%
Q,Q2602,LC5,"8,036 ",0.63%,2.05%,4.84%,8.33%,12.15%,17.66%,21.55%,25.85%,29.79%,34.48%,38.12%,43.70%,47.83%,52.38%,60.12%
R,R0101,LC5,"3,468 ",0.52%,2.31%,4.90%,8.48%,12.83%,16.52%,19.26%,23.36%,26.70%,30.85%,34.52%,38.52%,42.10%,44.58%,47.84%
R,R0102,LC5,"5,872 ",0.56%,2.35%,4.99%,9.06%,12.86%,16.38%,20.40%,25.24%,28.92%,32.80%,36.60%,40.46%,43.58%,47.21%,51.35%
R,R0201,LC5,"7,647 ",0.68%,2.38%,5.23%,8.55%,11.73%,14.19%,17.39%,19.85%,22.90%,25.72%,28.19%,31.52%,34.16%,36.65%,39.23%
R,R0301,LC5,"11,259 ",0.31%,1.59%,3.86%,6.84%,10.25%,12.88%,15.39%,17.90%,20.60%,23.54%,26.15%,29.18%,31.89%,34.06%,36.69%
R,R0401,LC5,"8,872 ",1.03%,3.36%,7.20%,12.26%,18.08%,22.19%,27.28%,31.93%,37.15%,41.34%,45.50%,49.67%,53.21%,57.07%,61.82%
R,R0501,LC5,"8,342 ",1.02%,2.81%,6.35%,10.36%,15.18%,19.01%,23.68%,28.35%,32.56%,36.74%,40.53%,44.51%,48.43%,52.71%,56.37%
R,R0601,LC5,"4,452 ",0.72%,2.76%,6.18%,9.95%,13.88%,17.59%,21.83%,25.29%,29.47%,32.75%,36.77%,40.63%,44.16%,47.98%,51.44%
R,R0602,LC5,"3,688 ",1.19%,3.28%,6.43%,10.30%,16.19%,20.31%,22.83%,29.09%,34.03%,38.56%,42.68%,46.50%,51.03%,55.23%,59.25%
R,R0701,LC5,"9,928 ",0.65%,2.78%,5.99%,9.51%,13.00%,15.83%,18.94%,21.59%,24.03%,26.68%,29.53%,32.84%,35.52%,37.93%,40.61%
R,R0801,LC5,"11,590 ",0.79%,2.52%,5.31%,8.10%,11.50%,14.15%,17.58%,20.47%,23.38%,26.55%,29.03%,32.12%,34.75%,37.06%,39.98%
R,R0901,LC5,"8,183 ",0.66%,2.52%,5.33%,9.23%,13.11%,16.30%,20.29%,23.62%,26.95%,30.34%,33.19%,36.44%,39.73%,42.80%,45.72%
R,R1001,LC5,"8,817 ",0.66%,3.55%,7.07%,10.81%,14.80%,18.44%,22.20%,25.45%,28.72%,32.05%,35.37%,39.16%,42.09%,45.02%,48.23%
R,R1101,LC5,"5,787 ",0.95%,2.63%,5.62%,8.83%,11.58%,14.57%,17.42%,19.91%,22.98%,25.89%,28.60%,31.50%,34.30%,36.43%,38.74%
R,R1102,LC5,"2,924 ",0.82%,1.98%,4.07%,7.83%,11.90%,15.66%,20.04%,22.85%,26.61%,30.10%,33.82%,36.56%,39.84%,43.74%,47.02%
R,R1201,LC5,"8,596 ",0.73%,2.64%,5.98%,9.47%,13.25%,16.24%,20.06%,23.37%,26.61%,30.32%,33.93%,37.27%,40.52%,43.74%,46.41%
R,R1301,LC5,"3,145 ",1.27%,3.62%,6.71%,10.43%,14.56%,18.86%,22.58%,26.01%,29.32%,33.58%,37.01%,40.60%,43.85%,46.80%,50.11%
R,R1302,LC5,"6,195 ",1.13%,2.53%,4.86%,7.86%,11.33%,14.19%,16.87%,19.48%,22.45%,25.84%,29.27%,32.53%,35.32%,37.98%,40.77%
R,R1401,LC5,"7,815 ",0.46%,2.10%,4.13%,7.27%,9.96%,13.06%,15.61%,18.25%,21.06%,23.70%,26.82%,29.79%,33.42%,36.42%,40.09%
R,R1501,LC5,"4,798 ",1.00%,2.48%,5.25%,8.46%,13.69%,17.78%,22.61%,27.18%,30.60%,35.24%,39.75%,42.79%,46.31%,51.33%,55.90%
R,R1502,LC5,"4,053 ",0.74%,2.37%,4.93%,8.34%,11.70%,14.80%,17.96%,20.55%,23.96%,27.02%,30.87%,34.30%,37.16%,40.24%,43.05%
R,R1601,LC5,"10,050 ",0.65%,1.79%,3.93%,6.69%,9.74%,12.32%,15.13%,17.66%,20.40%,23.30%,25.90%,29.08%,32.38%,35.73%,38.59%
R,R1602,LC5,"1,863 ",1.07%,3.44%,7.30%,11.33%,15.94%,20.13%,25.60%,30.17%,35.70%,39.56%,43.53%,47.07%,50.78%,55.93%,60.60%
R,R1701,LC5,"8,474 ",0.57%,2.40%,4.76%,7.35%,10.51%,13.95%,16.99%,20.08%,23.24%,26.32%,29.43%,32.63%,35.65%,38.23%,40.93%
R,R1801,LC5,"9,479 ",0.71%,2.56%,5.17%,8.65%,11.99%,14.50%,17.57%,19.61%,22.32%,25.12%,28.38%,31.74%,34.92%,37.81%,40.92%
R,R1901,LC5,"10,372 ",0.71%,3.26%,6.87%,10.72%,14.19%,17.18%,20.90%,24.13%,27.42%,30.62%,34.02%,36.98%,40.29%,43.15%,46.23%
R,R1902,LC5,"1,834 ",1.09%,2.84%,5.83%,9.16%,11.56%,14.01%,18.21%,21.76%,25.35%,28.63%,32.28%,35.28%,38.66%,42.04%,44.77%
R,R2001,LC5,"7,079 ",0.92%,3.09%,6.36%,9.70%,13.55%,16.77%,20.72%,24.42%,28.04%,31.33%,34.69%,38.31%,41.08%,44.65%,48.16%
R,R2002,LC5,837 ,1.43%,3.58%,6.81%,9.20%,12.07%,17.08%,20.91%,25.33%,29.39%,32.97%,35.84%,38.47%,42.89%,46.83%,51.14%
R,R2101,LC5,"7,848 ",0.64%,2.92%,6.36%,10.14%,14.70%,18.63%,22.59%,26.75%,31.55%,35.18%,39.09%,42.92%,46.15%,50.52%,54.45%
R,R2201,LC5,"7,526 ",0.53%,1.95%,4.09%,7.65%,11.43%,14.68%,18.55%,21.84%,26.14%,29.78%,33.26%,36.54%,40.42%,43.69%,47.93%
R,R2301,LC5,"1,668 ",1.02%,2.52%,5.64%,8.93%,13.31%,17.21%,20.44%,23.62%,27.70%,29.98%,34.71%,38.43%,40.89%,43.17%,45.74%
R,R2302,LC5,"4,499 ",0.82%,2.78%,5.49%,10.02%,14.40%,18.89%,23.25%,28.43%,31.85%,35.45%,40.34%,44.43%,48.59%,53.77%,59.52%
R,R2401,LC5,"10,873 ",0.70%,2.57%,5.73%,9.61%,13.02%,16.75%,20.36%,24.11%,28.27%,32.03%,35.59%,38.81%,42.39%,46.37%,50.57%
R,R2501,LC5,"11,953 ",0.68%,2.42%,5.15%,9.19%,13.26%,16.95%,20.30%,24.07%,28.05%,32.35%,35.74%,39.50%,43.10%,46.19%,50.52%
R,R2601,LC5,"9,080 ",0.65%,2.20%,4.79%,8.52%,12.72%,16.72%,21.26%,25.50%,29.97%,33.93%,37.44%,41.28%,45.09%,49.43%,54.31%
R,R2801,LC5,"13,129 ",0.67%,2.39%,5.31%,8.74%,12.51%,16.51%,19.91%,23.75%,27.48%,31.51%,34.76%,38.34%,41.39%,45.36%,49.39%
R,R2901,LC5,"13,820 ",0.69%,2.63%,5.35%,9.07%,12.84%,16.68%,20.33%,23.98%,27.79%,31.11%,34.53%,38.47%,41.86%,45.91%,49.91%
R,R3001,LC5,"6,907 ",0.84%,2.91%,6.04%,9.74%,12.42%,16.85%,20.54%,23.90%,27.35%,30.82%,34.20%,38.40%,42.10%,45.88%,50.35%
R,R3002,LC5,"3,625 ",0.50%,2.37%,4.94%,9.08%,13.05%,17.35%,20.74%,24.80%,29.54%,33.60%,37.88%,42.15%,46.29%,51.03%,56.22%
R,R3101,LC5,"13,210 ",0.54%,2.33%,4.72%,7.83%,11.14%,14.28%,17.09%,20.04%,23.04%,26.41%,29.98%,33.35%,36.53%,40.29%,43.59%
R,R3201,LC5,"9,340 ",0.45%,2.07%,4.61%,7.47%,10.51%,13.49%,16.20%,18.97%,22.16%,25.01%,28.22%,31.49%,34.12%,36.60%,39.67%
R,R3202,LC5,"5,955 ",1.19%,3.16%,5.86%,9.10%,13.22%,16.83%,19.50%,22.43%,25.66%,29.62%,32.93%,36.19%,39.51%,42.22%,45.10%
R,R3301,LC5,"11,731 ",0.53%,2.11%,5.02%,8.52%,12.33%,16.37%,20.90%,23.98%,28.33%,31.68%,35.50%,39.48%,42.90%,47.26%,52.54%
R,R3401,LC5,"8,406 ",0.98%,2.66%,5.34%,9.05%,12.74%,16.46%,20.37%,23.41%,26.97%,30.56%,34.21%,38.52%,41.71%,44.71%,48.43%
R,R3402,LC5,"2,448 ",0.57%,2.45%,5.96%,8.91%,11.44%,13.85%,16.63%,19.36%,21.81%,24.47%,27.21%,30.31%,32.88%,35.09%,36.85%
R,R3501,LC5,"9,484 ",0.51%,1.77%,4.25%,7.54%,11.48%,15.47%,18.91%,22.76%,26.25%,30.05%,33.65%,37.94%,41.20%,44.44%,48.13%
R,R3601,LC5,"6,269 ",0.72%,2.82%,5.84%,9.84%,14.42%,19.24%,24.20%,29.10%,33.75%,38.28%,42.94%,48.62%,52.58%,56.34%,62.35%
R,R3602,LC5,"2,058 ",1.21%,3.45%,6.12%,9.77%,12.73%,15.45%,18.03%,20.26%,23.18%,25.90%,28.33%,31.97%,34.50%,37.51%,39.80%
R,R3701,LC5,"10,161 ",0.70%,2.40%,5.09%,7.35%,11.47%,15.43%,19.23%,23.16%,27.20%,30.96%,35.32%,39.01%,42.49%,46.55%,50.75%
R,R3801,LC5,"8,972 ",0.88%,2.61%,5.35%,8.96%,12.36%,15.39%,18.50%,21.12%,24.10%,27.11%,29.80%,33.25%,36.12%,39.10%,41.62%
U,U0104,LC5,9 ,,,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%
U,U0105,LC5,20 ,,,0.00%,0.00%,0.00%,0.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%
U,U0106,LC5,26 ,,,3.85%,3.85%,3.85%,3.85%,3.85%,3.85%,19.23%,19.23%,19.23%,19.23%,19.23%,19.23%,19.23%
U,U0108,LC5,106 ,,,18.87%,18.87%,18.87%,18.87%,31.13%,31.13%,33.96%,33.96%,33.96%,33.96%,33.96%,33.96%,33.96%
U,U0109,LC5,2 ,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
U,U0110,LC5,2 ,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
U,U0112,LC5,42 ,,,0.00%,0.00%,0.00%,0.00%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%
U,U0113,LC5,24 ,,,8.33%,8.33%,8.33%,8.33%,45.83%,45.83%,54.17%,54.17%,54.17%,54.17%,54.17%,54.17%,54.17%
U,U0114,LC5,9 ,,,0.00%,0.00%,0.00%,0.00%,33.33%,33.33%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%
U,U0115,LC5,14 ,,,14.29%,14.29%,14.29%,14.29%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%
U,U0116,LC5,60 ,,,5.00%,5.00%,5.00%,5.00%,16.67%,16.67%,31.67%,31.67%,31.67%,31.67%,31.67%,31.67%,31.67%
U,U0117,LC5,17 ,,,29.41%,29.41%,29.41%,29.41%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%
U,U0118,LC5,23 ,,,17.39%,17.39%,17.39%,17.39%,43.48%,43.48%,52.17%,52.17%,52.17%,52.17%,52.17%,52.17%,52.17%
U,U0119,LC5,36 ,,,2.78%,2.78%,2.78%,2.78%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%
U,U0120,LC5,2 ,,,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
U,U0121,LC5,23 ,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
U,U0122,LC5,6 ,,,16.67%,16.67%,16.67%,16.67%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%
U,U0123,LC5,31 ,,,22.58%,22.58%,22.58%,22.58%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%
U,U0124,LC5,5 ,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
U,U0125,LC5,38 ,,,7.89%,7.89%,7.89%,7.89%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%
U,U0203,LC5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
*  不包括專用投票站,,,,,,,,,,,,,,,,,,
*  Excluding Dedicated Polling Stations,,,,,,,,,,,,,,,,,,
